,power,power
1055 EJ,11.0,1
1055 EN,22.0,1
1055 ET,22.0,2
1055 EX,11.0,1
1055 EZ,22.0,1
1055 GB,11.0,1
1055 GL,11.0,1
1055 GZ,22.0,2
1055 HD,22.0,1
1055 JA,11.0,1
1055 JD,11.0,1
1055 JL,11.0,1
1055 KT,22.0,1
1055 LD,11.0,1
1055 LE,11.0,1
1055 NK,11.0,1
1055 NM,11.0,1
1055 NN,22.0,1
1055 NR,11.0,1
1055 NX,22.0,1
1055 PE,11.0,1
1055 PJ,22.0,1
1055 PK,11.0,1
1055 PS,11.0,1
1055 PZ,22.0,1
1055 RB,22.0,1
1055 RH,11.0,1
1055 RN,11.0,1
1055 RX,11.0,1
1055 SH,11.0,1
1055 SR,11.0,1
1055 SV,11.0,1
1055 TA,11.0,1
1055 TK,33.0,2
1055 TM,22.0,2
1055 TN,11.0,1
1055 VB,33.0,2
1055 VP,22.0,2
1055 VR,11.0,1
1055 VT,11.0,1
1055 WB,11.0,1
1055 WC,11.0,1
1055 XH,22.0,1
1055 XP,11.0,1
1055 ZR,11.0,1
1056 AK,11.0,1
1056 AZ,11.0,1
1056 BA,22.0,1
1056 BB,22.0,1
1056 BC,11.0,1
1056 CW,11.0,1
1056 DK,22.0,2
1056 DT,22.0,2
1056 EB,11.0,1
1056 EM,11.0,1
1056 EP,22.0,2
1056 ER,11.0,1
1056 ES,22.0,1
1056 EW,11.0,1
1056 HD,11.0,1
1056 HL,33.0,3
1056 HR,11.0,1
1056 HT,44.0,3
1056 HX,22.0,2
1056 HZ,11.0,1
1056 JC,11.0,1
1056 JE,11.0,1
1056 JL,11.0,1
1056 JT,22.0,2
1056 JV,22.0,1
1056 KB,22.0,1
1056 KH,22.0,1
1056 KN,11.0,1
1056 KP,22.0,1
1056 NG,11.0,1
1056 NP,11.0,1
1056 NR,22.0,1
1056 NV,11.0,1
1056 PN,33.0,2
1056 PV,11.0,1
1056 RA,11.0,1
1056 RG,11.0,1
1056 RH,22.0,1
1056 RL,11.0,1
1056 RN,22.0,1
1056 RX,22.0,1
1056 SC,11.0,1
1056 SE,33.0,2
1056 SL,22.0,1
1056 SM,11.0,1
1056 SX,22.0,1
1056 TG,11.0,1
1056 TM,11.0,1
1056 TW,22.0,2
1056 VG,11.0,1
1056 VK,22.0,1
1056 VR,22.0,1
1056 VS,11.0,1
1056 VV,22.0,2
1056 WB,11.0,1
1056 WC,11.0,1
1056 WS,11.0,1
1056 WT,22.0,1
1056 WV,11.0,1
1056 XL,22.0,1
1056 XR,11.0,1
1056 XT,11.0,1
1057,11.0,1
1057 AC,11.0,1
1057 AN,11.0,1
1057 AP,22.0,1
1057 AR,11.0,1
1057 AS,22.0,1
1057 AX,22.0,1
1057 AZ,11.0,1
1057 BE,11.0,1
1057 BR,22.0,1
1057 CJ,11.0,1
1057 CK,11.0,1
1057 DM,22.0,1
1057 DP,11.0,1
1057 DT,11.0,1
1057 EH,11.0,1
1057 ET,11.0,1
1057 EZ,22.0,1
1057 GC,22.0,1
1057 GD,22.0,1
1057 GE,11.0,1
1057 GV,11.0,1
1057 GX,11.0,1
1057 HB,11.0,1
1057 HE,11.0,1
1057 HM,22.0,2
1057 HN,11.0,1
1057 HR,11.0,1
1057 HX,11.0,1
1057 JA,11.0,1
1057 JH,22.0,1
1057 JK,11.0,1
1057 JP,33.0,2
1057 JS,11.0,1
1057 NL,22.0,1
1057 PX,11.0,1
1057 RE,22.0,1
1057 RG,11.0,1
1057 RJ,11.0,1
1057 RM,22.0,1
1057 RR,11.0,1
1057 RT,33.0,2
1057 RW,22.0,1
1057 SC,11.0,1
1057 SG,11.0,1
1057 SX,44.0,2
1057 TE,11.0,1
1057 TJ,22.0,1
1057 TR,22.0,1
1057 VH,11.0,1
1057 VP,22.0,2
1057 WD,22.0,1
1057 WK,11.0,1
1057 WR,22.0,1
1057 WX,22.0,1
1057 XA,11.0,1
1057 ZR,11.0,1
1057 ZW,33.0,3
1058 AA,22.0,2
1058 AM,11.0,1
1058 AN,33.0,2
1058 AS,22.0,1
1058 AT,11.0,1
1058 AW,22.0,1
1058 AZ,11.0,1
1058 BC,22.0,1
1058 BV,11.0,1
1058 BW,22.0,1
1058 CV,22.0,1
1058 DH,11.0,1
1058 DK,11.0,1
1058 DN,11.0,1
1058 DV,22.0,1
1058 GA,55.0,4
1058 GD,11.0,1
1058 GN,11.0,1
1058 GP,11.0,1
1058 GR,11.0,1
1058 GX,22.0,1
1058 HC,22.0,2
1058 HE,11.0,1
1058 HG,11.0,1
1058 HJ,11.0,1
1058 HN,11.0,1
1058 HP,11.0,1
1058 HS,11.0,1
1058 HT,33.0,2
1058 HW,22.0,1
1058 JC,11.0,1
1058 JG,11.0,1
1058 JL,11.0,1
1058 JW,11.0,1
1058 KM,11.0,1
1058 KN,11.0,1
1058 KS,11.0,1
1058 KV,22.0,1
1058 KX,22.0,1
1058 LG,22.0,1
1058 LH,11.0,1
1058 LL,11.0,1
1058 LM,44.0,2
1058 LP,11.0,1
1058 LT,11.0,1
1058 NB,11.0,1
1058 NC,11.0,1
1058 NE,11.0,1
1058 NL,44.0,3
1058 SE,11.0,1
1058 SL,11.0,1
1058 SP,11.0,1
1058 SR,22.0,1
1058 ST,22.0,1
1058 SV,33.0,2
1058 TC,11.0,1
1058 TD,11.0,1
1058 TJ,22.0,1
1058 TX,33.0,2
1058 VA,11.0,1
1058 VD,22.0,1
1058 VK,22.0,1
1058 VN,11.0,1
1058 VV,11.0,1
1058 XB,11.0,1
1058 XC,11.0,1
1058 XD,33.0,2
1058 XG,22.0,1
1058 XM,22.0,1
1058 XT,11.0,1
1058GV,11.0,1
1059 AT,11.0,1
1059 AV,11.0,1
1059 AX,11.0,1
1059 BB,11.0,1
1059 BC,22.0,1
1059 BE,11.0,1
1059 BP,11.0,1
1059 CB,22.0,2
1059 CD,22.0,2
1059 CH,11.0,1
1059 CL,44.0,4
1059 CM,1191.0,16
1059 EB,11.0,1
1059 ED,33.0,2
1059 EV,11.0,1
1059 SV,22.0,1
1059 SZ,22.0,1
1059 TD,11.0,1
1059 TG,22.0,2
1059 TH,11.0,1
1059 TL,11.0,1
1059 TS,11.0,1
1059 VM,11.0,1
1059 VP,22.0,1
1059 VR,22.0,2
1059 VV,11.0,1
1059 VW,22.0,1
1059 VX,11.0,1
1059 XA,22.0,2
1059 XB,11.0,1
1059 XD,22.0,1
1059 XK,11.0,1
1059 XR,11.0,1
1059 XT,11.0,1
1059AM,11.0,1
1060 MB,22.0,1
1060 MJ,44.0,3
1060 MN,22.0,1
1060 MS,11.0,1
1060 NK,11.0,1
1060 NL,22.0,2
1060 NM,22.0,1
1060 NT,11.0,1
1060 NX,22.0,2
1060 PK,22.0,2
1060 PL,11.0,1
1060 RA,11.0,1
1060 RD,11.0,1
1060 RE,11.0,1
1060 RK,11.0,1
1060 RM,22.0,1
1060 RP,11.0,1
1060 RR,22.0,1
1060 RS,11.0,1
1060 RT,11.0,1
1060 RX,22.0,1
1060 RZ,11.0,1
1060 SH,22.0,1
1060 SJ,11.0,1
1060 ST,11.0,1
1061 AN,22.0,1
1061 AW,11.0,1
1061 BA,11.0,1
1061 BD,11.0,1
1061 BT,11.0,1
1061 BZ,11.0,1
1061 CE,22.0,1
1061 CZ,11.0,1
1061 DG,11.0,1
1061 DZ,22.0,1
1061 GB,11.0,1
1061 GG,11.0,1
1061 HK,22.0,1
1061 MA,22.0,1
1061 MG,22.0,2
1061 SB,22.0,1
1061 SW,22.0,1
1061 TG,11.0,1
1061 TT,11.0,1
1061 VK,22.0,1
1061 XB,11.0,1
1061 XH,22.0,1
1061 XZ,11.0,1
1062 AA,11.0,1
1062 AK,11.0,1
1062 BM,11.0,1
1062 BV,22.0,1
1062 CB,22.0,2
1062 CG,11.0,1
1062 CR,22.0,1
1062 DD,11.0,1
1062 DJ,11.0,1
1062 EV,22.0,2
1062 GD,11.0,1
1062 HA,11.0,1
1062 HC,11.0,1
1062 HK,22.0,2
1062 HW,22.0,1
1062 JN,11.0,1
1062 KE,22.0,1
1062 KM,11.0,1
1062 KS,11.0,1
1062 XK,111.0,3
1062 XR,11.0,1
1062KM,11.0,1
1063 AC,11.0,1
1063 AS,11.0,1
1063 AX,22.0,1
1063 BD,11.0,1
1063 BT,11.0,1
1063 BX,22.0,1
1063 CE,11.0,1
1063 CR,22.0,1
1063 EC,11.0,1
1063 GG,11.0,1
1063 HP,22.0,1
1063 JV,22.0,2
1063 LN,11.0,1
1063 MG,11.0,1
1063 NE,11.0,1
1063 PG,11.0,1
1063 TD,22.0,1
1063 VD,22.0,1
1063 XL,22.0,2
1063 XR,11.0,1
1063 XZ,22.0,1
1063 ZM,22.0,1
1063 ZZ,11.0,1
1064 AM,11.0,1
1064 BJ,22.0,1
1064 BS,11.0,1
1064 CC,22.0,1
1064 CK,11.0,1
1064 CT,11.0,1
1064 DA,11.0,1
1064 DC,11.0,1
1064 DD,11.0,1
1064 DE,11.0,1
1064 DH,11.0,1
1064 DL,22.0,1
1064 EZ,11.0,1
1064 GE,11.0,1
1064 GV,11.0,1
1064 HL,33.0,2
1064 HM,55.0,3
1064 HN,11.0,1
1064 LD,22.0,1
1064 LG,22.0,2
1064 MH,11.0,1
1064 ML,11.0,1
1064 NC,11.0,1
1064 NP,22.0,1
1064 NX,11.0,1
1064 ST,22.0,1
1064 SZ,11.0,1
1064 TD,11.0,1
1064 WE,11.0,1
1064 WJ,11.0,1
1064 WR,22.0,1
1064 WS,11.0,1
1064 WZ,11.0,1
1064 XD,11.0,1
1064 ZH,11.0,1
1064 ZJ,11.0,1
1065 AL,22.0,1
1065 AV,22.0,1
1065 BP,11.0,1
1065 BX,11.0,1
1065 CJ,11.0,1
1065 CK,22.0,1
1065 CN,11.0,1
1065 EA,22.0,1
1065 EW,11.0,1
1065 GG,22.0,1
1065 HD,11.0,1
1065 HH,11.0,1
1065 JX,11.0,1
1065 KB,11.0,1
1065 KL,22.0,1
1065 KT,11.0,1
1065 KW,22.0,1
1065 LB,11.0,1
1065 LG,33.0,2
1065 LH,22.0,2
1065 MB,11.0,1
1065 SN,11.0,1
1065 SP,22.0,1
1065 SX,11.0,1
1065 VG,33.0,2
1065 XS,22.0,1
1066 AW,22.0,1
1066 AZ,33.0,3
1066 BD,22.0,1
1066 CV,11.0,1
1066 DG,11.0,1
1066 DH,22.0,2
1066 EJ,11.0,1
1066 ER,11.0,1
1066 EV,11.0,1
1066 GS,11.0,1
1066 HC,11.0,1
1066 HS,22.0,1
1066 HX,11.0,1
1066 JD,11.0,1
1066 JG,11.0,1
1066 KB,11.0,1
1066 LS,11.0,1
1066 LT,11.0,1
1066 LW,11.0,1
1066 LX,11.0,1
1066 LZ,11.0,1
1066 MA,11.0,1
1066 MD,22.0,1
1066 ME,11.0,1
1066 MK,22.0,1
1066 MN,22.0,1
1066 MP,11.0,1
1066 NK,11.0,1
1066 NW,11.0,1
1066 PP,11.0,1
1066 PT,33.0,2
1066 PX,22.0,1
1066 RA,11.0,1
1066 SB,11.0,1
1066 SJ,11.0,1
1066 SK,22.0,2
1066 SP,22.0,1
1066 ST,11.0,1
1066 SX,11.0,1
1066 TA,11.0,1
1066 TB,22.0,2
1066 TK,11.0,1
1066 WC,22.0,1
1066 WE,22.0,1
1066 WH,33.0,3
1066 WJ,22.0,1
1066 XT,22.0,1
1067 AB,11.0,1
1067 AE,11.0,1
1067 AJ,22.0,1
1067 AN,22.0,1
1067 BC,11.0,1
1067 BD,11.0,1
1067 DC,11.0,1
1067 DE,22.0,1
1067 DG,11.0,1
1067 DH,11.0,1
1067 EE,22.0,1
1067 EP,22.0,2
1067 HR,11.0,1
1067 JA,22.0,2
1067 JP,22.0,1
1067 JV,22.0,1
1067 KD,22.0,1
1067 KL,11.0,1
1067 KW,22.0,1
1067 LE,11.0,1
1067 LT,11.0,1
1067 LW,11.0,1
1067 MX,11.0,1
1067 MZ,22.0,1
1067 NH,22.0,2
1067 NN,22.0,1
1067 NS,11.0,1
1067 PD,11.0,1
1067 PH,11.0,1
1067 PK,22.0,1
1067 PN,11.0,1
1067 PX,22.0,2
1067 RG,11.0,1
1067 SM,11.0,1
1067 SN,11.0,1
1067 TP,11.0,1
1067 TV,11.0,1
1067 VS,22.0,1
1067 VV,11.0,1
1067 VX,11.0,1
1067 WH,22.0,1
1067 WL,11.0,1
1067 XA,22.0,1
1067 XX,33.0,2
1068 AH,11.0,1
1068 BB,11.0,1
1068 BM,22.0,2
1068 BS,11.0,1
1068 CW,11.0,1
1068 DS,11.0,1
1068 ER,22.0,1
1068 GL,22.0,2
1068 HV,22.0,1
1068 HW,11.0,1
1068 HX,11.0,1
1068 HZ,11.0,1
1068 JH,11.0,1
1068 KH,11.0,1
1068 KP,11.0,1
1068 KV,22.0,1
1068 KZ,11.0,1
1068 LJ,11.0,1
1068 MB,11.0,1
1068 MG,11.0,1
1068 MP,33.0,2
1068 MS,22.0,1
1068 MV,22.0,1
1068 NC,22.0,1
1068 ND,22.0,1
1068 NP,11.0,1
1068 PC,11.0,1
1068 PM,11.0,1
1068 RA,22.0,1
1068 RC,22.0,1
1068 SH,11.0,1
1068 SK,22.0,2
1068 TG,11.0,1
1068 VM,22.0,1
1068 VT,11.0,1
1068 VW,11.0,1
1068 WE,11.0,1
1068 WG,22.0,1
1068ER,11.0,1
1068MH,11.0,1
1069 AL,22.0,1
1069 BG,11.0,1
1069 BJ,11.0,1
1069 CD,11.0,1
1069 EB,44.0,3
1069 EC,11.0,1
1069 ED,22.0,1
1069 EN,22.0,1
1069 EV,22.0,1
1069 EX,22.0,1
1069 GA,22.0,1
1069 GH,11.0,1
1069 GV,11.0,1
1069 GZ,11.0,1
1069 HD,22.0,1
1069 HP,11.0,1
1069 HT,22.0,1
1069 HV,11.0,1
1069 JR,11.0,1
1069 KA,33.0,2
1069 KG,11.0,1
1069 KJ,22.0,1
1069 KS,11.0,1
1069 KW,11.0,1
1069 LB,11.0,1
1069 LH,11.0,1
1069 MT,11.0,1
1069 MX,11.0,1
1069 NC,11.0,1
1069 NG,11.0,1
1069 NM,22.0,2
1069 NS,11.0,1
1069 PE,22.0,1
1069 PK,33.0,2
1069 PR,11.0,1
1069 PT,11.0,1
1069 RA,11.0,1
1069 RG,22.0,1
1069 RM,11.0,1
1069 RN,33.0,2
1069 RR,22.0,1
1069 SE,11.0,1
1069 SR,11.0,1
1069 SZ,11.0,1
1069 TD,33.0,2
1069 TV,22.0,1
1069 VM,22.0,1
1069 VN,22.0,2
1069 VP,22.0,1
1069 VW,11.0,1
1069 WP,11.0,1
1069 WR,11.0,1
1069 XV,22.0,1
1069 ZJ,22.0,1
1069 ZN,22.0,1
1069 zp,22.0,1
1071 AB,11.0,1
1071 AE,11.0,1
1071 AK,11.0,1
1071 BE,11.0,1
1071 BJ,11.0,1
1071 BW,22.0,1
1071 BX,11.0,1
1071 BZ,11.0,1
1071 CJ,33.0,2
1071 CM,11.0,1
1071 DB,11.0,1
1071 DH,22.0,2
1071 DP,11.0,1
1071 DR,44.0,2
1071 DV,22.0,2
1071 EM,22.0,1
1071 ER,22.0,2
1071 GB,11.0,1
1071 GD,11.0,1
1071 GE,33.0,2
1071 GJ,11.0,1
1071 GK,33.0,2
1071 GN,11.0,1
1071 GS,22.0,1
1071 GW,22.0,1
1071 HE,11.0,1
1071 HX,22.0,1
1071 JB,33.0,2
1071 JC,11.0,1
1071 JG,22.0,2
1071 JL,11.0,1
1071 JM,11.0,1
1071 JV,11.0,1
1071 JW,22.0,2
1071 KB,11.0,1
1071 KC,22.0,1
1071 KE,22.0,2
1071 KG,11.0,1
1071 KL,22.0,2
1071 KM,22.0,1
1071 KN,22.0,1
1071 KP,11.0,1
1071 KS,22.0,1
1071 KV,33.0,2
1071 LB,11.0,1
1071 LE,33.0,2
1071 LJ,11.0,1
1071 LL,11.0,1
1071 LN,11.0,1
1071 LR,33.0,2
1071 MB,11.0,1
1071 MJ,11.0,1
1071 MN,11.0,1
1071 MP,11.0,1
1071 MT,11.0,1
1071 MX,22.0,1
1071 NA,11.0,1
1071 NE,22.0,1
1071 NK,11.0,1
1071 NP,22.0,1
1071 PR,11.0,1
1071 PV,22.0,1
1071 PW,11.0,1
1071 RA,11.0,1
1071 RM,22.0,1
1071 RR,11.0,1
1071 RS,11.0,1
1071 RV,11.0,1
1071 SC,22.0,1
1071 SR,11.0,1
1071 SX,11.0,1
1071 TH,11.0,1
1071 TL,11.0,1
1071 TS,22.0,2
1071 TV,22.0,2
1071 TZ,11.0,1
1071 VC,11.0,1
1071 VG,11.0,1
1071 VP,11.0,1
1071 VT,11.0,1
1071 VW,11.0,1
1071 VX,22.0,1
1071 WC,22.0,1
1071 WE,11.0,1
1071 WL,22.0,1
1071 WT,11.0,1
1071 XB,11.0,1
1071 XD,11.0,1
1071 XG,11.0,1
1071 XJ,11.0,1
1071 XW,150.0,3
1071 ZH,11.0,1
1071 ZK,22.0,2
1071 ZP,11.0,1
1071 ZX,11.0,1
1071 ZZ,11.0,1
1072 AA,11.0,1
1072 AP,22.0,1
1072 AS,11.0,1
1072 AT,22.0,1
1072 AV,11.0,1
1072 AZ,22.0,1
1072 EJ,22.0,2
1072 EL,22.0,1
1072 EP,11.0,1
1072 GS,22.0,1
1072 GW,33.0,2
1072 HK,11.0,1
1072 HR,22.0,2
1072 HS,22.0,2
1072 HT,22.0,1
1072 JC,22.0,2
1072 JJ,22.0,2
1072 JL,11.0,1
1072 JZ,33.0,3
1072 KA,11.0,1
1072 ME,11.0,1
1072 NB,11.0,1
1072 NP,22.0,1
1072 NT,33.0,2
1072 NV,11.0,1
1072 PA,22.0,2
1072 PC,11.0,1
1072 RT,22.0,1
1072 RX,11.0,1
1072 SE,11.0,1
1072 SH,22.0,1
1072 SJ,11.0,1
1072 SR,11.0,1
1072 SX,11.0,1
1072 TA,22.0,1
1072 TT,11.0,1
1072 XC,44.0,3
1073 AA,22.0,2
1073 AW,11.0,1
1073 CD,11.0,1
1073 CG,11.0,1
1073 CN,11.0,1
1073 CP,11.0,1
1073 CV,22.0,2
1073 CW,11.0,1
1073 CX,22.0,1
1073 EA,11.0,1
1073 EH,11.0,1
1073 EJ,11.0,1
1073 GC,11.0,1
1073 GG,11.0,1
1073 GN,11.0,1
1073 GS,22.0,1
1073 HD,11.0,1
1073 HG,11.0,1
1073 HK,22.0,1
1073 HS,11.0,1
1073 KB,11.0,1
1073 KH,22.0,2
1073 KX,11.0,1
1073 RM,11.0,1
1073 RR,22.0,1
1073 SG,11.0,1
1073 SL,11.0,1
1073 SZ,11.0,1
1073 TJ,11.0,1
1073 TK,33.0,2
1073 TN,33.0,3
1073 TP,11.0,1
1073 TR,11.0,1
1073 TV,11.0,1
1073 VP,11.0,1
1073 VW,22.0,2
1073 VX,11.0,1
1073 XH,11.0,1
1073 XL,22.0,1
1073 XP,22.0,2
1073 XS,22.0,2
1074 AR,11.0,1
1074 BA,22.0,2
1074 BD,11.0,1
1074 BE,33.0,3
1074 BL,55.0,3
1074 BM,11.0,1
1074 BR,11.0,1
1074 BT,11.0,1
1074 CM,22.0,1
1074 CN,22.0,1
1074 CR,11.0,1
1074 CS,11.0,1
1074 CT,11.0,1
1074 ED,44.0,3
1074 EJ,11.0,1
1074 EK,15.0,2
1074 EP,11.0,1
1074 ET,11.0,1
1074 GA,22.0,1
1074 GJ,22.0,1
1074 HE,11.0,1
1074 HG,11.0,1
1074 HJ,11.0,1
1074 HS,11.0,1
1074 HW,11.0,1
1074 HZ,11.0,1
1074 JH,33.0,3
1074 JJ,11.0,1
1074 SW,11.0,1
1074 TV,22.0,2
1074 TZ,22.0,1
1074 VB,11.0,1
1074 VE,11.0,1
1074 VG,22.0,1
1074 VH,22.0,1
1074 VM,11.0,1
1074 VN,11.0,1
1074 VP,22.0,1
1074 VT,11.0,1
1074 XG,22.0,1
1074 XL,22.0,2
1074 XN,11.0,1
1074 XT,11.0,1
1074 XX,22.0,1
1075 AB,11.0,1
1075 AC,33.0,2
1075 AG,11.0,1
1075 AN,33.0,2
1075 AS,55.0,4
1075 AT,11.0,1
1075 BA,22.0,2
1075 BB,11.0,1
1075 BH,11.0,1
1075 BN,22.0,1
1075 BS,22.0,1
1075 BT,11.0,1
1075 BZ,22.0,2
1075 CA,11.0,1
1075 CE,11.0,1
1075 CX,33.0,2
1075 EA,11.0,1
1075 EC,11.0,1
1075 EG,11.0,1
1075 EN,22.0,2
1075 ET,11.0,1
1075 EV,22.0,1
1075 GB,22.0,1
1075 GH,22.0,1
1075 GJ,22.0,2
1075 GM,22.0,1
1075 GP,11.0,1
1075 GT,11.0,1
1075 GV,22.0,2
1075 HC,22.0,2
1075 HE,22.0,1
1075 HG,22.0,2
1075 HR,11.0,1
1075 HS,11.0,1
1075 KK,22.0,1
1075 KT,11.0,1
1075 KZ,11.0,1
1075 LJ,11.0,1
1075 MG,11.0,1
1075 NC,11.0,1
1075 NT,11.0,1
1075 NX,33.0,2
1075 NZ,11.0,1
1075 PA,22.0,2
1075 PD,22.0,2
1075 PP,22.0,1
1075 PS,11.0,1
1075 PX,22.0,1
1075 RD,11.0,1
1075 RE,11.0,1
1075 RN,11.0,1
1075 RT,11.0,1
1075 RW,22.0,1
1075 SG,11.0,1
1075 SP,11.0,1
1075 ST,11.0,1
1075 TA,11.0,1
1075 TD,11.0,1
1075 TL,22.0,2
1075 TN,11.0,1
1075 TR,22.0,2
1075 TX,22.0,1
1075 VK,22.0,2
1075 VP,11.0,1
1075 VS,11.0,1
1076  AL,11.0,1
1076 AA,11.0,1
1076 AD,11.0,1
1076 AH,11.0,1
