Postcode,Januari 2017,Februari 2017,Maart 2017,April 2017,Mei 2017,Juni 2017,Juli 2017,Augustus 2017,September 2017,Oktober 2017,November 2017,December 2017,Januari 2018,Februari 2018,Maart 2018,April 2018,Mei 2018,Juni 2018,Juli 2018,Augustus 2018,September 2018,Oktober 2018,November 2018,December 2018,Januari 2019,Februari 2019,Maart 2019,April 2019,Mei 2019,Juni 2019,Juli 2019,Augustus 2019,September 2019,Oktober 2019,November 2019,December 2019,Januari 2020,Februari 2020,Maart 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Augustus 2020,September 2020,Oktober 2020,November 2020,December 2020,Januari 2021,Februari 2021,Maart 2021,April 2021,Mei 2021,Juni 2021,Juli 2021,Augustus 2021,September 2021,Oktober 2021,November 2021,December 2021,Januari 2022,Februari 2022,Maart 2022,April 2022,Mei 2022,Juni 2022,Juli 2022,Augustus 2022,September 2022,Oktober 2022,November 2022,December 2022
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,51.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,56.0,55.0,54.0,57.0,66.0,67.0,69.0,69.0,76.0,78.0,81.0,85.0,93.0,89.0,93.0,94.0,95.0,96.0,112.0,124.0,127.0,136.0,134.0,136.0,142.0,145.0,145.0,151.0,156.0,163.0,172.0,186.0,187.0,198.0,221.0,229.0,237.0,239.0,255.0,260.0,263.0,262.0,273.0,285.0,289.0,296.0,311.0,314.0,324.0,331.0,332.0,336.0,334.0,340.0,341.0,351.0,354.0,367.0
1012,16.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,19.0,20.0,20.0,20.0,22.0,22.0,21.0,20.0,20.0,21.0,19.0,20.0,23.0,23.0,24.0,30.0,30.0,32.0,34.0,36.0,40.0,43.0,43.0,45.0,43.0,43.0,46.0,48.0,51.0,50.0,51.0,52.0,52.0,53.0,52.0,54.0,53.0,54.0,54.0,59.0,58.0,59.0,59.0,59.0,61.0,61.0,61.0,61.0,62.0,63.0,64.0,67.0,69.0,71.0,69.0,71.0,70.0,70.0,70.0,71.0,73.0,73.0,75.0,79.0
1013,479.0,496.0,532.0,532.0,549.0,562.0,567.0,580.0,613.0,615.0,622.0,647.0,649.0,671.0,714.0,712.0,739.0,800.0,818.0,870.0,1024.0,1086.0,1168.0,1316.0,1315.0,1344.0,1481.0,1508.0,1529.0,1647.0,1671.0,1690.0,1857.0,1861.0,1977.0,2539.0,2540.0,2529.0,2562.0,2563.0,2567.0,2603.0,2596.0,2626.0,2693.0,2696.0,2724.0,3160.0,3161.0,3147.0,3173.0,3173.0,3183.0,3217.0,3221.0,3223.0,3289.0,3280.0,3295.0,3483.0,3473.0,3467.0,3483.0,3479.0,3472.0,3498.0,1200.0,206.0,208.0,217.0,219.0,228.0
1014,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,14.0,16.0,17.0,17.0,18.0,23.0,24.0,24.0,25.0,28.0,27.0,28.0,30.0,31.0,32.0,32.0,33.0,38.0,39.0,40.0,42.0,44.0,47.0,64.0,64.0,64.0,72.0,73.0,73.0,76.0,80.0,84.0,95.0,109.0,121.0,135.0,140.0,141.0,142.0,148.0,153.0,158.0,164.0,181.0,205.0,215.0,224.0,252.0,254.0,258.0,267.0,268.0,260.0,266.0,285.0,293.0,315.0,338.0,351.0,363.0
1015,18.0,19.0,19.0,19.0,20.0,20.0,20.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,21.0,22.0,20.0,22.0,23.0,23.0,27.0,27.0,29.0,33.0,34.0,35.0,35.0,38.0,41.0,44.0,43.0,43.0,54.0,56.0,56.0,56.0,56.0,58.0,61.0,61.0,61.0,64.0,66.0,66.0,70.0,72.0,77.0,78.0,79.0,83.0,87.0,88.0,92.0,97.0,96.0,101.0,106.0,107.0,108.0,109.0,109.0,108.0,111.0,111.0,112.0,117.0,114.0,114.0,116.0
1016,19.0,20.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,20.0,20.0,25.0,25.0,25.0,26.0,26.0,25.0,25.0,25.0,24.0,25.0,24.0,25.0,30.0,31.0,35.0,36.0,36.0,36.0,40.0,42.0,45.0,47.0,46.0,49.0,59.0,59.0,59.0,61.0,59.0,60.0,60.0,59.0,62.0,63.0,62.0,64.0,75.0,76.0,75.0,76.0,77.0,78.0,81.0,82.0,83.0,87.0,85.0,89.0,97.0,102.0,104.0,105.0,109.0,113.0,119.0,122.0,125.0,124.0,121.0,122.0,126.0
1017,35.0,36.0,37.0,35.0,37.0,39.0,38.0,38.0,38.0,37.0,39.0,41.0,42.0,43.0,43.0,44.0,44.0,45.0,47.0,47.0,50.0,51.0,51.0,58.0,57.0,56.0,58.0,59.0,61.0,62.0,63.0,63.0,68.0,69.0,71.0,82.0,85.0,84.0,88.0,87.0,87.0,89.0,90.0,93.0,100.0,102.0,106.0,112.0,114.0,115.0,116.0,117.0,118.0,124.0,126.0,129.0,133.0,137.0,142.0,144.0,149.0,153.0,160.0,164.0,176.0,180.0,185.0,186.0,190.0,196.0,202.0,211.0
1018,18.0,19.0,19.0,19.0,20.0,22.0,22.0,22.0,22.0,27.0,27.0,29.0,30.0,34.0,36.0,36.0,37.0,37.0,38.0,39.0,41.0,43.0,44.0,47.0,47.0,49.0,53.0,56.0,57.0,62.0,63.0,65.0,68.0,70.0,74.0,81.0,81.0,82.0,85.0,85.0,85.0,88.0,90.0,91.0,93.0,97.0,100.0,105.0,108.0,111.0,113.0,113.0,114.0,116.0,118.0,124.0,126.0,124.0,128.0,135.0,139.0,138.0,143.0,144.0,144.0,147.0,153.0,157.0,161.0,163.0,167.0,174.0
1019,17.0,17.0,17.0,18.0,18.0,18.0,18.0,20.0,22.0,22.0,23.0,26.0,27.0,29.0,34.0,36.0,37.0,38.0,37.0,37.0,41.0,41.0,42.0,44.0,43.0,45.0,50.0,49.0,49.0,59.0,59.0,64.0,67.0,66.0,71.0,82.0,82.0,83.0,85.0,88.0,91.0,92.0,93.0,95.0,100.0,102.0,105.0,112.0,116.0,120.0,122.0,123.0,129.0,135.0,136.0,138.0,142.0,147.0,148.0,152.0,158.0,164.0,170.0,172.0,172.0,176.0,178.0,179.0,182.0,181.0,183.0,189.0
1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,10.0,12.0,13.0,14.0,12.0,12.0,15.0,15.0,15.0,16.0,18.0,20.0,22.0,22.0,23.0,27.0,28.0,29.0,31.0,30.0,30.0,30.0,31.0,31.0,33.0,36.0,36.0,41.0,41.0,41.0,43.0,42.0,44.0,49.0,49.0,48.0,47.0,44.0,45.0,42.0,36.0,35.0,36.0,37.0,39.0,38.0,42.0,40.0,42.0,42.0,42.0,42.0
1022,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,9.0,9.0,12.0,14.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,20.0,19.0,19.0,21.0,22.0,26.0,27.0,30.0,30.0,31.0,32.0,32.0,35.0
1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,18.0,19.0,19.0,19.0,19.0,21.0,22.0,23.0,24.0,24.0,24.0,25.0,24.0,25.0,25.0,26.0,27.0,30.0,33.0,32.0,32.0,35.0,36.0,36.0,36.0,38.0,39.0,40.0,40.0,41.0
1024,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,13.0,14.0,18.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,24.0,24.0,25.0,25.0,24.0,26.0,28.0,29.0,30.0,31.0,31.0,32.0,33.0,34.0,34.0,34.0,35.0,36.0,37.0,38.0,39.0,39.0,40.0,41.0,44.0,45.0,48.0,50.0,55.0,54.0,53.0,54.0,57.0,59.0,64.0,67.0,68.0,68.0,68.0,74.0,76.0,78.0
1025,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,14.0,18.0,18.0,19.0,25.0,25.0,26.0,26.0,27.0,26.0,26.0,27.0,26.0,27.0,29.0,30.0,33.0,34.0,35.0,38.0,40.0,41.0,41.0,41.0,42.0,41.0,41.0,44.0,48.0,47.0,49.0,52.0,56.0,60.0,61.0,65.0,66.0,69.0,69.0,72.0,73.0
1026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0
1027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0
1028,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,20.0,21.0,20.0,21.0,22.0,23.0,21.0,21.0,21.0,21.0,22.0,22.0,21.0,22.0,24.0,24.0,24.0,24.0,24.0,25.0,25.0
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,13.0,13.0,13.0,15.0,15.0,16.0,18.0,18.0,18.0,19.0,19.0,21.0,23.0,24.0,24.0,23.0,24.0,25.0,26.0,26.0,27.0,31.0,31.0,33.0,36.0,35.0,35.0,36.0,37.0,39.0,39.0,40.0,44.0,44.0,50.0,51.0,56.0,58.0,60.0,62.0,66.0,72.0,80.0,86.0,85.0,93.0,98.0,98.0,98.0
1032,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,10.0,12.0,12.0,12.0,12.0,13.0,14.0,15.0,17.0,17.0,19.0,19.0,21.0,23.0,24.0,25.0,27.0,28.0,28.0,30.0,30.0,30.0,30.0,31.0,31.0,33.0,34.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,40.0,40.0,41.0,43.0,46.0,47.0,47.0,48.0,48.0,48.0,48.0,50.0,51.0,50.0,52.0,55.0
1033,152.0,169.0,169.0,164.0,165.0,165.0,164.0,166.0,167.0,169.0,168.0,169.0,171.0,173.0,174.0,173.0,172.0,174.0,177.0,181.0,174.0,171.0,170.0,161.0,162.0,161.0,165.0,165.0,165.0,163.0,166.0,164.0,181.0,179.0,185.0,198.0,201.0,198.0,204.0,208.0,208.0,210.0,214.0,211.0,218.0,222.0,223.0,237.0,240.0,233.0,234.0,197.0,202.0,205.0,209.0,209.0,218.0,221.0,228.0,155.0,110.0,112.0,117.0,113.0,109.0,110.0,115.0,117.0,116.0,119.0,119.0,123.0
1034,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,7.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,16.0,17.0,18.0,19.0,18.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,22.0,24.0,25.0,25.0,25.0,23.0,23.0,22.0,23.0,26.0,26.0,27.0,27.0,29.0,31.0,33.0,33.0,35.0,35.0,36.0,40.0,39.0,41.0,42.0,45.0,44.0,45.0,48.0,52.0
1035,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,13.0,12.0,12.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,20.0,20.0,20.0,23.0,23.0,24.0,25.0,25.0,25.0,27.0,29.0,29.0,33.0,34.0,36.0,39.0,42.0,42.0,42.0,42.0,43.0,47.0,47.0,48.0,50.0,50.0,54.0,59.0,64.0,64.0,67.0,72.0,76.0,82.0,87.0,93.0,93.0,92.0,94.0,98.0
1036,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,13.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,19.0,20.0,21.0,21.0,23.0,23.0,22.0,24.0,27.0,29.0,30.0,31.0,31.0,32.0,33.0,35.0,36.0,37.0
1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,15.0,15.0,15.0,15.0,15.0
1042,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,14.0,14.0,15.0,16.0,17.0,17.0,22.0,24.0,24.0,24.0,25.0,25.0,25.0,27.0,27.0,28.0,28.0,29.0,31.0,32.0,33.0,35.0,37.0,37.0,39.0,45.0,47.0,47.0,54.0,57.0,59.0,59.0,59.0,61.0,62.0,63.0,63.0,66.0,66.0,66.0,68.0,69.0,68.0,67.0,54.0,53.0,54.0,57.0,58.0,60.0
1043,11.0,11.0,13.0,13.0,12.0,12.0,12.0,12.0,14.0,16.0,17.0,17.0,20.0,21.0,22.0,24.0,24.0,28.0,27.0,28.0,32.0,37.0,39.0,46.0,45.0,45.0,48.0,48.0,52.0,60.0,63.0,66.0,76.0,88.0,99.0,120.0,123.0,127.0,138.0,140.0,143.0,147.0,151.0,158.0,163.0,169.0,182.0,211.0,216.0,218.0,220.0,222.0,228.0,234.0,242.0,248.0,253.0,260.0,269.0,297.0,297.0,300.0,305.0,312.0,315.0,322.0,324.0,324.0,325.0,332.0,333.0,340.0
1044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
1045,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
1046,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,7.0,6.0,6.0,9.0,11.0,11.0,12.0,12.0,12.0,14.0,15.0,16.0,16.0,16.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,23.0,23.0,26.0,28.0,27.0,28.0,28.0,28.0,28.0,28.0,30.0,33.0,36.0,34.0,35.0,37.0,37.0,38.0,40.0,40.0,44.0,45.0,49.0,54.0,58.0,62.0,62.0,64.0,66.0,66.0,65.0,67.0,66.0,67.0,70.0,71.0,73.0
1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1051,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,10.0,12.0,13.0,14.0,14.0,15.0,17.0,17.0,17.0,14.0,14.0,14.0,16.0,16.0,19.0,26.0,27.0,26.0,28.0,29.0,30.0,32.0,33.0,36.0,40.0,44.0,45.0,50.0,49.0,49.0,52.0,54.0,56.0,56.0,58.0,51.0,50.0,48.0,49.0,54.0,52.0,53.0,53.0,60.0,59.0,61.0,56.0,56.0,58.0,60.0,60.0,62.0
1052,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,9.0,9.0,9.0,11.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,19.0,21.0,23.0,22.0,22.0,22.0,23.0,23.0,24.0,25.0,26.0,28.0,30.0,33.0,34.0,34.0,36.0,37.0,37.0,40.0,41.0,44.0,46.0,50.0,49.0,52.0,53.0,50.0,49.0,51.0
1053,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,14.0,16.0,17.0,18.0,18.0,19.0,19.0,20.0,20.0,23.0,29.0,30.0,30.0,31.0,31.0,31.0,31.0,32.0,32.0,34.0,35.0,35.0,35.0,36.0,37.0,40.0,41.0,43.0,44.0,45.0,47.0,48.0,49.0,52.0,53.0,55.0,54.0,57.0,62.0,65.0,65.0,63.0,67.0,68.0,66.0,66.0,67.0
1054,10.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,14.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,18.0,19.0,20.0,21.0,22.0,22.0,23.0,22.0,22.0,24.0,25.0,25.0,25.0,27.0,28.0,30.0,34.0,36.0,38.0,44.0,47.0,48.0,51.0,52.0,52.0,56.0,58.0,58.0,62.0,66.0,68.0,71.0,71.0,73.0,74.0,72.0,75.0,78.0,83.0,87.0,94.0,94.0,96.0,99.0,94.0,98.0,103.0,107.0,110.0,117.0,119.0,125.0,132.0,127.0,132.0,132.0
1055,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,10.0,11.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,20.0,21.0,21.0,21.0,21.0,22.0,22.0,24.0,24.0,25.0,25.0,32.0,32.0,32.0,34.0,34.0,34.0,35.0,35.0,37.0,37.0,38.0,39.0,41.0,43.0,43.0,42.0,43.0,43.0,46.0,47.0,48.0,51.0,53.0,57.0,62.0,68.0,66.0,69.0,75.0,75.0,80.0,83.0,87.0,91.0,92.0,95.0,95.0
1056,2.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,10.0,11.0,11.0,11.0,13.0,14.0,14.0,15.0,17.0,17.0,19.0,19.0,18.0,18.0,20.0,22.0,24.0,26.0,26.0,26.0,27.0,27.0,28.0,28.0,28.0,28.0,27.0,27.0,27.0,32.0,30.0,32.0,36.0,40.0,43.0,46.0,50.0,52.0,52.0,50.0,51.0,54.0,52.0,53.0,55.0
1057,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,12.0,12.0,15.0,15.0,17.0,20.0,20.0,21.0,21.0,22.0,22.0,22.0,20.0,20.0,22.0,23.0,23.0,23.0,24.0,24.0,25.0,27.0,27.0,29.0,30.0,30.0,32.0,31.0,33.0,32.0,36.0,35.0,37.0,41.0,41.0,44.0,49.0,54.0,52.0,52.0,55.0,59.0
1058,4.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,12.0,14.0,16.0,16.0,18.0,19.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,24.0,33.0,32.0,32.0,32.0,32.0,33.0,33.0,35.0,40.0,43.0,45.0,46.0,48.0,49.0,50.0,52.0,54.0,53.0,54.0,53.0,57.0,61.0,61.0,63.0,64.0,64.0,66.0,69.0,72.0,72.0,77.0,75.0,77.0,78.0,87.0,91.0,94.0
